Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio
53,4,13,18,3 - 2,13,3,2,5,Borussia Dortmund,Internazionale,1,1,0.6,0.4
54,4,27,20,3 - 1,27,3,1,4,Olympique Lyon,Benfica,1,2,0.75,0.25
55,4,9,17,4 - 4,17,4,4,8,Chelsea,Ajax,0,0,0.5,0.5
56,4,63,71,4 - 1,63,4,1,5,Valencia,Lille OSC,1,3,0.8,0.2
57,4,2,41,2 - 0,2,2,0,2,Bayern München,Olympiakos Piraeus,1,2,1.0,0.0
58,4,74,6,1 - 2,6,1,2,3,Lokomotiv Moscow,Juventus,0,-1,0.3333333333333333,0.6666666666666666
59,4,8,31,1 - 0,8,1,0,1,Paris Saint-Germain,Club Brugge,1,1,1.0,0.0
60,4,1,64,6 - 0,1,6,0,6,Real Madrid,Galatasaray,1,6,1.0,0.0
61,4,570,23,0 - 4,23,0,4,4,Crvena zvezda,Tottenham Hotspur,0,-4,0.0,1.0
62,4,43,21,3 - 3,21,3,3,6,Dinamo Zagreb,Shakhtar Donetsk,0,0,0.5,0.5
63,4,504,4,1 - 1,4,1,1,2,Atlantas Klaipeda,Manchester City,0,0,0.5,0.5
64,4,22,7,2 - 1,22,2,1,3,Bayer Leverkusen,Atlético Madrid,1,1,0.6666666666666666,0.3333333333333333
65,5,64,31,1 - 1,31,1,1,2,Galatasaray,Club Brugge,0,0,0.5,0.5
66,5,74,22,0 - 2,22,0,2,2,Lokomotiv Moscow,Bayer Leverkusen,0,-2,0.0,1.0
67,5,1,8,2 - 2,8,2,2,4,Real Madrid,Paris Saint-Germain,0,0,0.5,0.5
68,5,570,2,0 - 6,2,0,6,6,Crvena zvezda,Bayern München,0,-6,0.0,1.0
69,5,23,41,4 - 2,23,4,2,6,Tottenham Hotspur,Olympiakos Piraeus,1,2,0.6666666666666666,0.3333333333333333
70,5,504,43,2 - 0,504,2,0,2,Atlantas Klaipeda,Dinamo Zagreb,1,2,1.0,0.0
71,5,4,21,1 - 1,21,1,1,2,Manchester City,Shakhtar Donetsk,0,0,0.5,0.5
72,5,6,7,1 - 0,6,1,0,1,Juventus,Atlético Madrid,1,1,1.0,0.0
73,5,30,27,2 - 0,30,2,0,2,Zenit St. Petersburg,Olympique Lyon,1,2,1.0,0.0
74,5,63,9,2 - 2,9,2,2,4,Valencia,Chelsea,0,0,0.5,0.5
75,5,5,16,1 - 1,16,1,1,2,Liverpool,Napoli,0,0,0.5,0.5
76,5,78,28,1 - 4,28,1,4,5,Racing Genk,FC Salzburg,0,-3,0.2,0.8
77,5,3,13,3 - 1,3,3,1,4,FC Barcelona,Borussia Dortmund,1,2,0.75,0.25
78,5,44,18,1 - 3,18,1,3,4,Slavia Praha,Internazionale,0,-2,0.25,0.75
79,5,24,20,2 - 2,20,2,2,4,RB Leipzig,Benfica,0,0,0.5,0.5
80,5,71,17,0 - 2,17,0,2,2,Lille OSC,Ajax,0,-2,0.0,1.0
81,6,16,78,4 - 0,16,4,0,4,Napoli,Racing Genk,1,4,1.0,0.0
82,6,28,5,0 - 2,5,0,2,2,FC Salzburg,Liverpool,0,-2,0.0,1.0
83,6,13,44,2 - 1,13,2,1,3,Borussia Dortmund,Slavia Praha,1,1,0.6666666666666666,0.3333333333333333
84,6,18,3,1 - 2,3,1,2,3,Internazionale,FC Barcelona,0,-1,0.3333333333333333,0.6666666666666666
85,6,27,24,2 - 2,24,2,2,4,Olympique Lyon,RB Leipzig,0,0,0.5,0.5
86,6,20,30,3 - 0,20,3,0,3,Benfica,Zenit St. Petersburg,1,3,1.0,0.0
87,6,9,71,2 - 1,9,2,1,3,Chelsea,Lille OSC,1,1,0.6666666666666666,0.3333333333333333
