Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
85,1,0,29,3 - 0,1,3,0,3,Real Madrid,APOEL Nicosia,1,3,1.0,0.0,32.0,6.0,0,
86,1,17,12,3 - 1,23,3,1,4,Tottenham Hotspur,Borussia Dortmund,1,2,0.75,0.25,21.0,10.0,0,
51,2,9,31,3 - 0,10,3,0,3,Sevilla,NK Maribor,1,3,1.0,0.0,21.0,7.0,0,
52,2,30,4,1 - 1,5,1,1,2,Spartak Moscow,Liverpool,0,0,0.5,0.5,11.0,30.0,0,
63,2,14,21,3 - 1,16,3,1,4,Napoli,Feyenoord,1,2,0.75,0.25,10.0,6.0,0,
64,2,3,16,2 - 0,4,2,0,2,Manchester City,Shakhtar Donetsk,1,2,1.0,0.0,22.0,19.0,0,
75,2,24,18,2 - 0,46,2,0,2,Besiktas,RB Leipzig,1,2,1.0,0.0,19.0,17.0,0,
76,2,22,11,0 - 3,12,0,3,3,AS Monaco,FC Porto,0,-3,0.0,1.0,6.0,17.0,0,
87,2,12,0,1 - 3,1,1,3,4,Borussia Dortmund,Real Madrid,0,-2,0.25,0.75,10.0,32.0,0,
88,2,29,17,0 - 3,23,0,3,3,APOEL Nicosia,Tottenham Hotspur,0,-3,0.0,1.0,6.0,21.0,0,
27,2,28,13,1 - 2,14,1,2,3,Qarabag FK,AS Roma,0,-1,0.3333333333333333,0.6666666666666666,6.0,25.0,0,
3,2,19,15,5 - 0,26,5,0,5,FC Basel,Benfica,1,5,1.0,0.0,19.0,4.0,0,
4,2,27,10,1 - 4,11,1,4,5,CSKA Moscow,Manchester United,0,-3,0.2,0.8,17.0,20.0,0,
15,2,7,1,3 - 0,8,3,0,3,Paris Saint-Germain,Bayern München,1,3,1.0,0.0,19.0,29.0,0,
16,2,26,25,0 - 3,50,0,3,3,Anderlecht,Celtic,0,-3,0.0,1.0,6.0,8.0,0,
28,2,6,8,1 - 2,9,1,2,3,Atlético Madrid,Chelsea,0,-1,0.3333333333333333,0.6666666666666666,28.0,18.0,0,
39,2,20,2,0 - 1,3,0,1,1,Sporting CP Lisbon,FC Barcelona,0,-1,0.0,1.0,17.0,25.0,0,
40,2,5,23,2 - 0,6,2,0,2,Juventus,Olympiakos Piraeus,1,2,1.0,0.0,23.0,5.0,0,
53,3,30,9,5 - 1,115,5,1,6,Spartak Moscow,Sevilla,1,4,0.8333333333333334,0.16666666666666666,11.0,21.0,0,
54,3,31,4,0 - 7,5,0,7,7,NK Maribor,Liverpool,0,-7,0.0,1.0,7.0,30.0,0,
65,3,3,14,2 - 1,4,2,1,3,Manchester City,Napoli,1,1,0.6666666666666666,0.3333333333333333,22.0,10.0,0,
66,3,21,16,1 - 2,21,1,2,3,Feyenoord,Shakhtar Donetsk,0,-1,0.3333333333333333,0.6666666666666666,6.0,19.0,0,
77,3,22,24,1 - 2,46,1,2,3,AS Monaco,Besiktas,0,-1,0.3333333333333333,0.6666666666666666,6.0,19.0,0,
78,3,18,11,3 - 2,24,3,2,5,RB Leipzig,FC Porto,1,1,0.6,0.4,17.0,17.0,0,
89,3,29,12,1 - 1,13,1,1,2,APOEL Nicosia,Borussia Dortmund,0,0,0.5,0.5,6.0,10.0,0,
90,3,0,17,1 - 1,23,1,1,2,Real Madrid,Tottenham Hotspur,0,0,0.5,0.5,32.0,21.0,0,
29,3,28,6,0 - 0,7,0,0,0,Qarabag FK,Atlético Madrid,0,0,,,6.0,28.0,1,7.0
5,3,27,19,0 - 2,26,0,2,2,CSKA Moscow,FC Basel,0,-2,0.0,1.0,17.0,19.0,0,
6,3,15,10,0 - 1,11,0,1,1,Benfica,Manchester United,0,-1,0.0,1.0,4.0,20.0,0,
17,3,26,7,0 - 4,8,0,4,4,Anderlecht,Paris Saint-Germain,0,-4,0.0,1.0,6.0,19.0,0,
18,3,1,25,3 - 0,2,3,0,3,Bayern München,Celtic,1,3,1.0,0.0,29.0,8.0,0,
30,3,8,13,3 - 3,14,3,3,6,Chelsea,AS Roma,0,0,0.5,0.5,18.0,25.0,0,
41,3,5,20,2 - 1,6,2,1,3,Juventus,Sporting CP Lisbon,1,1,0.6666666666666666,0.3333333333333333,23.0,17.0,0,
42,3,2,23,3 - 1,3,3,1,4,FC Barcelona,Olympiakos Piraeus,1,2,0.75,0.25,25.0,5.0,0,
7,4,19,27,1 - 2,62,1,2,3,FC Basel,CSKA Moscow,0,-1,0.3333333333333333,0.6666666666666666,19.0,17.0,0,
8,4,10,15,2 - 0,11,2,0,2,Manchester United,Benfica,1,2,1.0,0.0,20.0,4.0,0,
19,4,7,26,5 - 0,8,5,0,5,Paris Saint-Germain,Anderlecht,1,5,1.0,0.0,19.0,6.0,0,
20,4,25,1,1 - 2,2,1,2,3,Celtic,Bayern München,0,-1,0.3333333333333333,0.6666666666666666,8.0,29.0,0,
31,4,6,28,1 - 1,66,1,1,2,Atlético Madrid,Qarabag FK,0,0,0.5,0.5,28.0,6.0,0,
32,4,13,8,3 - 0,14,3,0,3,AS Roma,Chelsea,1,3,1.0,0.0,25.0,18.0,0,
43,4,20,5,1 - 1,6,1,1,2,Sporting CP Lisbon,Juventus,0,0,0.5,0.5,17.0,23.0,0,
44,4,23,2,0 - 0,3,0,0,0,Olympiakos Piraeus,FC Barcelona,0,0,,,5.0,25.0,1,3.0
79,4,24,22,1 - 1,37,1,1,2,Besiktas,AS Monaco,0,0,0.5,0.5,19.0,6.0,0,
55,4,9,30,2 - 1,10,2,1,3,Sevilla,Spartak Moscow,1,1,0.6666666666666666,0.3333333333333333,21.0,11.0,0,
56,4,4,31,3 - 0,5,3,0,3,Liverpool,NK Maribor,1,3,1.0,0.0,30.0,7.0,0,
67,4,14,3,2 - 4,4,2,4,6,Napoli,Manchester City,0,-2,0.3333333333333333,0.6666666666666666,10.0,22.0,0,
68,4,16,21,3 - 1,21,3,1,4,Shakhtar Donetsk,Feyenoord,1,2,0.75,0.25,19.0,6.0,0,
80,4,11,18,3 - 1,12,3,1,4,FC Porto,RB Leipzig,1,2,0.75,0.25,17.0,17.0,0,
