Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
50,4.0,162,6,2 - 0,162,2,0,2,Maccabi Haifa,Juventus,1,2,1.0,0.0,6.0,17.0,0,
51,4.0,43,28,1 - 1,28,1,1,2,Dinamo Zagreb,FC Salzburg,0,0,0.5,0.5,7.0,9.0,0,
52,4.0,25,9,0 - 2,9,0,2,2,AC Milan,Chelsea,0,-2,0.0,1.0,24.0,21.0,0,
53,4.0,21,1,1 - 1,1,1,1,2,Shakhtar Donetsk,Real Madrid,0,0,0.5,0.5,11.0,29.0,0,
54,4.0,50,24,0 - 2,24,0,2,2,Celtic,RB Leipzig,0,-2,0.0,1.0,6.0,18.0,0,
55,4.0,13,10,1 - 1,10,1,1,2,Borussia Dortmund,Sevilla,0,0,0.5,0.5,18.0,21.0,0,
56,4.0,8,20,1 - 1,20,1,1,2,Paris Saint-Germain,Benfica,0,0,0.5,0.5,19.0,25.0,0,
57,4.0,16,17,4 - 2,16,4,2,6,Napoli,Ajax,1,2,0.6666666666666666,0.3333333333333333,25.0,8.0,0,
58,4.0,7,31,0 - 0,31,0,0,0,Atlético Madrid,Club Brugge,0,0,,,8.0,17.0,1,31.0
59,4.0,49,5,1 - 7,5,1,7,8,Glasgow Rangers,Liverpool,0,-6,0.125,0.875,4.0,19.0,0,
60,4.0,22,12,0 - 3,12,0,3,3,Bayer Leverkusen,FC Porto,0,-3,0.0,1.0,19.0,18.0,0,
61,4.0,3,18,3 - 3,18,3,3,6,FC Barcelona,Internazionale,0,0,0.5,0.5,9.0,29.0,0,
62,4.0,60,2,2 - 4,2,2,4,6,Viktoria Plzen,Bayern München,0,-2,0.3333333333333333,0.6666666666666666,4.0,27.0,0,
63,4.0,23,35,3 - 2,23,3,2,5,Tottenham Hotspur,Eintracht Frankfurt,1,1,0.6,0.4,18.0,16.0,0,
64,4.0,29,42,0 - 2,42,0,2,2,Sporting CP Lisbon,Olympique Marseille,0,-2,0.0,1.0,14.0,8.0,0,
65,5.0,28,9,1 - 2,9,1,2,3,FC Salzburg,Chelsea,0,-1,0.3333333333333333,0.6666666666666666,9.0,21.0,0,
66,5.0,10,38,3 - 0,10,3,0,3,Sevilla,FC København,1,3,1.0,0.0,21.0,7.0,0,
67,5.0,43,25,0 - 4,25,0,4,4,Dinamo Zagreb,AC Milan,0,-4,0.0,1.0,7.0,24.0,0,
68,5.0,50,21,1 - 1,21,1,1,2,Celtic,Shakhtar Donetsk,0,0,0.5,0.5,6.0,11.0,0,
69,5.0,24,1,3 - 2,24,3,2,5,RB Leipzig,Real Madrid,1,1,0.6,0.4,18.0,29.0,0,
70,5.0,13,4,0 - 0,4,0,0,0,Borussia Dortmund,Manchester City,0,0,,,18.0,33.0,1,4.0
71,5.0,8,162,7 - 2,8,7,2,9,Paris Saint-Germain,Maccabi Haifa,1,5,0.7777777777777778,0.2222222222222222,19.0,6.0,0,
72,5.0,20,6,4 - 3,20,4,3,7,Benfica,Juventus,1,1,0.5714285714285714,0.42857142857142855,25.0,17.0,0,
73,5.0,31,12,0 - 4,12,0,4,4,Club Brugge,FC Porto,0,-4,0.0,1.0,17.0,18.0,0,
74,5.0,18,60,4 - 0,18,4,0,4,Internazionale,Viktoria Plzen,1,4,1.0,0.0,29.0,4.0,0,
75,5.0,16,49,3 - 0,16,3,0,3,Napoli,Glasgow Rangers,1,3,1.0,0.0,25.0,4.0,0,
76,5.0,17,5,0 - 3,5,0,3,3,Ajax,Liverpool,0,-3,0.0,1.0,8.0,19.0,0,
77,5.0,7,22,2 - 2,22,2,2,4,Atlético Madrid,Bayer Leverkusen,0,0,0.5,0.5,8.0,19.0,0,
78,5.0,3,2,0 - 3,2,0,3,3,FC Barcelona,Bayern München,0,-3,0.0,1.0,9.0,27.0,0,
79,5.0,23,29,1 - 1,29,1,1,2,Tottenham Hotspur,Sporting CP Lisbon,0,0,0.5,0.5,18.0,14.0,0,
80,5.0,35,42,2 - 1,35,2,1,3,Eintracht Frankfurt,Olympique Marseille,1,1,0.6666666666666666,0.3333333333333333,16.0,8.0,0,
81,6.0,12,7,2 - 1,12,2,1,3,FC Porto,Atlético Madrid,1,1,0.6666666666666666,0.3333333333333333,18.0,8.0,0,
82,6.0,22,31,0 - 0,31,0,0,0,Bayer Leverkusen,Club Brugge,0,0,,,19.0,17.0,1,31.0
83,6.0,5,16,2 - 0,5,2,0,2,Liverpool,Napoli,1,2,1.0,0.0,19.0,25.0,0,
84,6.0,49,17,1 - 3,17,1,3,4,Glasgow Rangers,Ajax,0,-2,0.25,0.75,4.0,8.0,0,
85,6.0,2,18,2 - 0,2,2,0,2,Bayern München,Internazionale,1,2,1.0,0.0,27.0,29.0,0,
86,6.0,60,3,2 - 4,3,2,4,6,Viktoria Plzen,FC Barcelona,0,-2,0.3333333333333333,0.6666666666666666,4.0,9.0,0,
87,6.0,29,35,1 - 2,35,1,2,3,Sporting CP Lisbon,Eintracht Frankfurt,0,-1,0.3333333333333333,0.6666666666666666,14.0,16.0,0,
